Time id,Material,Material_Id,Quantity,Total_Value
16,C87-200349,34313.0,11.0,1812250.0
17,C87-200349,34313.0,8.0,1314805.85
18,C87-200349,34313.0,30.0,5269390.93999999
19,C87-200349,34313.0,22.0,3935504.52
20,C87-200349,34313.0,21.0,3825706.51999999
21,C87-200349,34313.0,19.0,3456670.07
22,C87-200349,34313.0,11.0,2009857.92
23,C87-200349,34313.0,16.0,2931016.21
24,C87-200349,34313.0,9.0,1632309.26999999
25,C87-200349,34313.0,7.0,1271082.88
26,C87-200349,34313.0,12.0,2158106.38
27,C87-200349,34313.0,9.0,1616663.38
28,C87-200349,34313.0,10.0,1784098.47
29,C87-200349,34313.0,4.0,714699.78
30,C87-200349,34313.0,10.0,1783078.83
31,C87-200349,34313.0,8.0,1419965.52
32,C87-200349,34313.0,11.0,1930805.24
33,C87-200349,34313.0,9.0,1575749.84
34,C87-200349,34313.0,8.0,1397596.83
35,C87-200349,34313.0,20.0,3467548.69
36,C87-200349,34313.0,16.0,2773284.34
37,C87-200349,34313.0,7.0,1213284.15
38,C87-200349,34313.0,11.0,1906582.08999999
1,C87-400114,34314.0,21.0,646117.29
2,C87-400114,34314.0,23.0,724673.11
3,C87-400114,34314.0,18.0,571001.2
4,C87-400114,34314.0,12.0,380825.33
6,C87-400114,34314.0,14.0,444336.65
7,C87-400114,34314.0,18.0,579412.03
8,C87-400114,34314.0,37.0,1224356.71
9,C87-400114,34314.0,37.0,1232563.25
10,C87-400114,34314.0,26.0,878403.599999999
11,C87-400114,34314.0,33.0,1121769.72
12,C87-400114,34314.0,27.0,918351.159999999
13,C87-400114,34314.0,27.0,936210.599999999
14,C87-400114,34314.0,16.0,567757.01
15,C87-400114,34314.0,12.0,424404.06
16,C87-400114,34314.0,21.0,743487.98
17,C87-400114,34314.0,22.0,782380.64
18,C87-400114,34314.0,36.0,1320988.73
19,C87-400114,34314.0,29.0,1093440.08
20,C87-400114,34314.0,33.0,1241596.37
21,C87-400114,34314.0,40.0,1502667.85999999
22,C87-400114,34314.0,34.0,1276751.55
23,C87-400114,34314.0,43.0,1621111.48999999
24,C87-400114,34314.0,43.0,1595067.55999999
25,C87-400114,34314.0,82.0,2943303.69999999
26,C87-400114,34314.0,75.0,2652391.48999999
27,C87-400114,34314.0,54.0,1935821.67
28,C87-400114,34314.0,39.0,1424190.22
29,C87-400114,34314.0,36.0,1296884.62
30,C87-400114,34314.0,34.0,1218772.25999999
31,C87-400114,34314.0,48.0,1710696.36999999
32,C87-400114,34314.0,35.0,1246740.96
33,C87-400114,34314.0,39.0,1388146.09
34,C87-400114,34314.0,41.0,1462669.63
35,C87-400114,34314.0,31.0,1126311.04
36,C87-400114,34314.0,50.0,1820879.22
37,C87-400114,34314.0,80.0,2911465.28999999
